transition,action,chunk_id,document_id,old_hash,new_hash,old_version,new_version,affected_stores,reason,run_id
v2_to_v3_add_followup,unchanged,doc_001_equipment-chunk-003,doc_001_equipment,53c232385f277f796628c8a5cfca098d,53c232385f277f796628c8a5cfca098d,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v2_to_v3_add_followup,unchanged,doc_002_safety_rules-chunk-000,doc_002_safety_rules,6330f95103b78dab58727d3cc6ca8b73,6330f95103b78dab58727d3cc6ca8b73,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v2_to_v3_add_followup,unchanged,doc_002_safety_rules-chunk-001,doc_002_safety_rules,9754a628600ec6c97e1884542e8d2ec78fd9290a6b53023b8db647a2942e9fbd,9754a628600ec6c97e1884542e8d2ec78fd9290a6b53023b8db647a2942e9fbd,2,2,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v2_to_v3_add_followup,unchanged,doc_002_safety_rules-chunk-002,doc_002_safety_rules,a53ec556a0940efa16ffd60eaba569ef,a53ec556a0940efa16ffd60eaba569ef,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v2_to_v3_add_followup,unchanged,doc_003_incident_report-chunk-000,doc_003_incident_report,a190b62b5760299200b823bb72ae09d3,a190b62b5760299200b823bb72ae09d3,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v2_to_v3_add_followup,unchanged,doc_003_incident_report-chunk-001,doc_003_incident_report,2b0af8a25412ea7fb38e4cc5800af40c,2b0af8a25412ea7fb38e4cc5800af40c,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v2_to_v3_add_followup,unchanged,doc_003_incident_report-chunk-002,doc_003_incident_report,e4075bf020a786b9a714651c78f4c25f,e4075bf020a786b9a714651c78f4c25f,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v2_to_v3_add_followup,unchanged,doc_003_incident_report-chunk-003,doc_003_incident_report,df721d4c5745ed1d01092ee8e8bfd974,df721d4c5745ed1d01092ee8e8bfd974,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v2_to_v3_add_followup,added,doc_003_incident_report-chunk-004,doc_003_incident_report,,c31f5b6869fe1550faa1e7f584e2d5fc8a9e4776a47cdb205e110086d18cc726,,3,text_chunks | chunks_vdb | graph_store | entities_vdb | relationships_vdb | doc_status,New chunk_id appears in the new snapshot.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_001_equipment-chunk-000,doc_001_equipment,54f94f64fdd39aef0914fcfddd400fd5,54f94f64fdd39aef0914fcfddd400fd5,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_001_equipment-chunk-001,doc_001_equipment,435a2b195a34b964d91788924ad4887f,435a2b195a34b964d91788924ad4887f,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,deleted,doc_001_equipment-chunk-002,doc_001_equipment,d1bf42678798d0ea8f7aebc44fcbc263,,1,,text_chunks | chunks_vdb | graph_store | entities_vdb | relationships_vdb | doc_status,Old chunk_id is absent from the new snapshot.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_001_equipment-chunk-003,doc_001_equipment,53c232385f277f796628c8a5cfca098d,53c232385f277f796628c8a5cfca098d,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_002_safety_rules-chunk-000,doc_002_safety_rules,6330f95103b78dab58727d3cc6ca8b73,6330f95103b78dab58727d3cc6ca8b73,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_002_safety_rules-chunk-001,doc_002_safety_rules,9754a628600ec6c97e1884542e8d2ec78fd9290a6b53023b8db647a2942e9fbd,9754a628600ec6c97e1884542e8d2ec78fd9290a6b53023b8db647a2942e9fbd,2,2,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_002_safety_rules-chunk-002,doc_002_safety_rules,a53ec556a0940efa16ffd60eaba569ef,a53ec556a0940efa16ffd60eaba569ef,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_003_incident_report-chunk-000,doc_003_incident_report,a190b62b5760299200b823bb72ae09d3,a190b62b5760299200b823bb72ae09d3,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_003_incident_report-chunk-001,doc_003_incident_report,2b0af8a25412ea7fb38e4cc5800af40c,2b0af8a25412ea7fb38e4cc5800af40c,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_003_incident_report-chunk-002,doc_003_incident_report,e4075bf020a786b9a714651c78f4c25f,e4075bf020a786b9a714651c78f4c25f,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_003_incident_report-chunk-003,doc_003_incident_report,df721d4c5745ed1d01092ee8e8bfd974,df721d4c5745ed1d01092ee8e8bfd974,1,1,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
v3_to_v4_delete_control_system,unchanged,doc_003_incident_report-chunk-004,doc_003_incident_report,c31f5b6869fe1550faa1e7f584e2d5fc8a9e4776a47cdb205e110086d18cc726,c31f5b6869fe1550faa1e7f584e2d5fc8a9e4776a47cdb205e110086d18cc726,3,3,,Same chunk_id and same content_hash.,incremental_index_ablation_v0_001
