run_id,sample_id,question_type,difficulty,modalities,strategy,k,expected_evidence_count,hit_evidence_count,hit_at_k,recall_at_k,mrr,context_precision,context_recall,latency_ms,returned_chunks,chunk_ids,content_types,hit_evidence_ids,question,evidence_rank_improved,evidence_rank_worsened,evidence_lost_after_rerank,evidence_gained_after_rerank
rerank_ablation_v0_001,EVAL-0002,fact,easy,text,vector,5,1,1,1,1.0,1.0,0.2,1.0,751.19,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_004_pipeline_inspection-chunk-002 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000,text | text | image | text | text,E1,Which pipeline does BluePump-X100 move cooling water through?,0,0,0,0
rerank_ablation_v0_001,EVAL-0002,fact,easy,text,graph,5,1,1,1,1.0,1.0,0.2,1.0,879.21,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1,Which pipeline does BluePump-X100 move cooling water through?,0,0,0,0
rerank_ablation_v0_001,EVAL-0002,fact,easy,text,bm25_vector_rrf,5,1,1,1,1.0,1.0,0.2,1.0,752.04,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001 | doc_004_pipeline_inspection-chunk-002 | doc_002_safety_rules-chunk-000,text | text | text | image | text,E1,Which pipeline does BluePump-X100 move cooling water through?,0,0,0,0
rerank_ablation_v0_001,EVAL-0002,fact,easy,text,bm25_vector_graph_rrf,5,1,1,1,1.0,1.0,0.2,1.0,1631.25,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-001,text | text | text | text | text,E1,Which pipeline does BluePump-X100 move cooling water through?,0,0,0,0
rerank_ablation_v0_001,EVAL-0002,fact,easy,text,bm25_vector_rrf_query_rerank,5,1,1,1,1.0,1.0,0.2,1.0,752.17,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001 | doc_004_pipeline_inspection-chunk-002 | doc_002_safety_rules-chunk-000,text | text | text | image | text,E1,Which pipeline does BluePump-X100 move cooling water through?,0,0,0,0
rerank_ablation_v0_001,EVAL-0002,fact,easy,text,bm25_vector_rrf_q015_rerank,5,1,0,0,0.0,0.0,0.0,0.0,752.21,5,doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,,Which pipeline does BluePump-X100 move cooling water through?,0,0,1,0
rerank_ablation_v0_001,EVAL-0002,fact,easy,text,bm25_vector_graph_rrf_query_rerank,5,1,1,1,1.0,1.0,0.2,1.0,1631.36,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1,Which pipeline does BluePump-X100 move cooling water through?,0,0,0,0
rerank_ablation_v0_001,EVAL-0002,fact,easy,text,bm25_vector_graph_rrf_q015_rerank,5,1,0,0,0.0,0.0,0.0,0.0,1631.39,5,doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,,Which pipeline does BluePump-X100 move cooling water through?,0,0,1,0
rerank_ablation_v0_001,EVAL-0003,fact,easy,text,bm25,5,2,2,1,1.0,1.0,0.2,1.0,0.66,5,doc_001_equipment-chunk-003 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is Filter-F33?,0,0,0,0
rerank_ablation_v0_001,EVAL-0003,fact,easy,text,vector,5,2,2,1,1.0,1.0,0.2,1.0,677.38,5,doc_001_equipment-chunk-003 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is Filter-F33?,0,0,0,0
rerank_ablation_v0_001,EVAL-0003,fact,easy,text,graph,5,2,2,1,1.0,1.0,0.2,1.0,681.16,5,doc_001_equipment-chunk-003 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is Filter-F33?,0,0,0,0
rerank_ablation_v0_001,EVAL-0003,fact,easy,text,bm25_vector_rrf,5,2,2,1,1.0,1.0,0.2,1.0,678.1,5,doc_001_equipment-chunk-003 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is Filter-F33?,0,0,0,0
rerank_ablation_v0_001,EVAL-0003,fact,easy,text,bm25_vector_graph_rrf,5,2,2,1,1.0,1.0,0.2,1.0,1359.25,5,doc_001_equipment-chunk-003 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is Filter-F33?,0,0,0,0
rerank_ablation_v0_001,EVAL-0003,fact,easy,text,bm25_vector_rrf_query_rerank,5,2,2,1,1.0,1.0,0.2,1.0,678.22,5,doc_001_equipment-chunk-003 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is Filter-F33?,0,0,0,0
rerank_ablation_v0_001,EVAL-0003,fact,easy,text,bm25_vector_rrf_q015_rerank,5,2,0,0,0.0,0.0,0.0,0.0,678.33,5,doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-000,text | text | text | text | text,,What is Filter-F33?,0,0,2,0
rerank_ablation_v0_001,EVAL-0003,fact,easy,text,bm25_vector_graph_rrf_query_rerank,5,2,2,1,1.0,1.0,0.2,1.0,1359.34,5,doc_001_equipment-chunk-003 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is Filter-F33?,0,0,0,0
rerank_ablation_v0_001,EVAL-0003,fact,easy,text,bm25_vector_graph_rrf_q015_rerank,5,2,0,0,0.0,0.0,0.0,0.0,1359.5,5,doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-000,text | text | text | text | text,,What is Filter-F33?,0,0,2,0
rerank_ablation_v0_001,EVAL-0004,entity_relation,easy,text,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.81,5,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-000,text | text | text | text | text,E1,What does Safety-Regulation-42 require for BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0004,entity_relation,easy,text,vector,5,1,1,1,1.0,1.0,0.2,1.0,664.31,5,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1,What does Safety-Regulation-42 require for BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0004,entity_relation,easy,text,graph,5,1,1,1,1.0,1.0,0.2,1.0,720.73,5,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1,What does Safety-Regulation-42 require for BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0004,entity_relation,easy,text,bm25_vector_rrf,5,1,1,1,1.0,1.0,0.2,1.0,665.17,5,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1,What does Safety-Regulation-42 require for BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0004,entity_relation,easy,text,bm25_vector_graph_rrf,5,1,1,1,1.0,1.0,0.2,1.0,1385.9,5,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1,What does Safety-Regulation-42 require for BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0004,entity_relation,easy,text,bm25_vector_rrf_query_rerank,5,1,1,1,1.0,1.0,0.2,1.0,665.28,5,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1,What does Safety-Regulation-42 require for BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0004,entity_relation,easy,text,bm25_vector_rrf_q015_rerank,5,1,1,1,1.0,0.3333,0.2,1.0,665.34,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1,What does Safety-Regulation-42 require for BluePump-X100?,0,1,0,0
rerank_ablation_v0_001,EVAL-0004,entity_relation,easy,text,bm25_vector_graph_rrf_query_rerank,5,1,1,1,1.0,1.0,0.2,1.0,1385.98,5,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1,What does Safety-Regulation-42 require for BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0004,entity_relation,easy,text,bm25_vector_graph_rrf_q015_rerank,5,1,1,1,1.0,0.3333,0.2,1.0,1386.04,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1,What does Safety-Regulation-42 require for BluePump-X100?,0,1,0,0
rerank_ablation_v0_001,EVAL-0005,cross_paragraph,medium,text,bm25,5,3,3,1,1.0,1.0,0.4,1.0,1.03,5,doc_001_equipment-chunk-001 | doc_001_equipment-chunk-002 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1 | E2 | E3,Which sensors report to ControlSystem-CS1?,0,0,0,0
rerank_ablation_v0_001,EVAL-0005,cross_paragraph,medium,text,vector,5,3,3,1,1.0,1.0,0.4,1.0,672.46,5,doc_001_equipment-chunk-002 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1 | E2 | E3,Which sensors report to ControlSystem-CS1?,0,0,0,0
rerank_ablation_v0_001,EVAL-0005,cross_paragraph,medium,text,graph,5,3,3,1,1.0,1.0,0.4,1.0,716.44,5,doc_001_equipment-chunk-002 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1 | E2 | E3,Which sensors report to ControlSystem-CS1?,0,0,0,0
rerank_ablation_v0_001,EVAL-0005,cross_paragraph,medium,text,bm25_vector_rrf,5,3,3,1,1.0,1.0,0.4,1.0,673.54,5,doc_001_equipment-chunk-002 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1 | E2 | E3,Which sensors report to ControlSystem-CS1?,0,0,0,0
rerank_ablation_v0_001,EVAL-0005,cross_paragraph,medium,text,bm25_vector_graph_rrf,5,3,3,1,1.0,1.0,0.4,1.0,1389.97,5,doc_001_equipment-chunk-002 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1 | E2 | E3,Which sensors report to ControlSystem-CS1?,0,0,0,0
rerank_ablation_v0_001,EVAL-0005,cross_paragraph,medium,text,bm25_vector_rrf_query_rerank,5,3,3,1,1.0,1.0,0.4,1.0,673.65,5,doc_001_equipment-chunk-001 | doc_001_equipment-chunk-002 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1 | E2 | E3,Which sensors report to ControlSystem-CS1?,2,1,0,0
rerank_ablation_v0_001,EVAL-0005,cross_paragraph,medium,text,bm25_vector_rrf_q015_rerank,5,3,2,1,0.6667,1.0,0.2,0.6667,673.71,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1 | E2,Which sensors report to ControlSystem-CS1?,2,0,1,0
rerank_ablation_v0_001,EVAL-0005,cross_paragraph,medium,text,bm25_vector_graph_rrf_query_rerank,5,3,3,1,1.0,1.0,0.4,1.0,1390.07,5,doc_001_equipment-chunk-001 | doc_001_equipment-chunk-002 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1 | E2 | E3,Which sensors report to ControlSystem-CS1?,2,1,0,0
rerank_ablation_v0_001,EVAL-0005,cross_paragraph,medium,text,bm25_vector_graph_rrf_q015_rerank,5,3,2,1,0.6667,1.0,0.2,0.6667,1390.13,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1 | E2,Which sensors report to ControlSystem-CS1?,2,0,1,0
rerank_ablation_v0_001,EVAL-0006,entity_relation,easy,text,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.7,5,doc_001_equipment-chunk-001 | doc_004_pipeline_inspection-chunk-000 | doc_001_equipment-chunk-002 | doc_003_incident_report-chunk-003 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1,What does Sensor T-200 monitor?,0,0,0,0
rerank_ablation_v0_001,EVAL-0006,entity_relation,easy,text,vector,5,1,1,1,1.0,0.5,0.2,1.0,696.48,5,doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-001 | doc_001_equipment-chunk-002 | doc_004_pipeline_inspection-chunk-000 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1,What does Sensor T-200 monitor?,0,0,0,0
rerank_ablation_v0_001,EVAL-0006,entity_relation,easy,text,graph,5,1,1,1,1.0,0.5,0.2,1.0,754.08,5,doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-001 | doc_001_equipment-chunk-002 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1,What does Sensor T-200 monitor?,0,0,0,0
rerank_ablation_v0_001,EVAL-0006,entity_relation,easy,text,bm25_vector_rrf,5,1,1,1,1.0,1.0,0.2,1.0,697.24,5,doc_001_equipment-chunk-001 | doc_004_pipeline_inspection-chunk-000 | doc_001_equipment-chunk-002 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1,What does Sensor T-200 monitor?,0,0,0,0
rerank_ablation_v0_001,EVAL-0006,entity_relation,easy,text,bm25_vector_graph_rrf,5,1,1,1,1.0,1.0,0.2,1.0,1451.32,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-002 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1,What does Sensor T-200 monitor?,0,0,0,0
rerank_ablation_v0_001,EVAL-0006,entity_relation,easy,text,bm25_vector_rrf_query_rerank,5,1,1,1,1.0,1.0,0.2,1.0,697.35,5,doc_001_equipment-chunk-001 | doc_004_pipeline_inspection-chunk-000 | doc_001_equipment-chunk-002 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1,What does Sensor T-200 monitor?,0,0,0,0
rerank_ablation_v0_001,EVAL-0006,entity_relation,easy,text,bm25_vector_rrf_q015_rerank,5,1,1,1,1.0,1.0,0.2,1.0,697.41,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-003 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1,What does Sensor T-200 monitor?,0,0,0,0
rerank_ablation_v0_001,EVAL-0006,entity_relation,easy,text,bm25_vector_graph_rrf_query_rerank,5,1,1,1,1.0,1.0,0.2,1.0,1451.41,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-002 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1,What does Sensor T-200 monitor?,0,0,0,0
rerank_ablation_v0_001,EVAL-0006,entity_relation,easy,text,bm25_vector_graph_rrf_q015_rerank,5,1,1,1,1.0,1.0,0.2,1.0,1451.48,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-003 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1,What does Sensor T-200 monitor?,0,0,0,0
rerank_ablation_v0_001,EVAL-0007,numeric,easy,text,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.77,5,doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-002,text | text | text | text | image,E1,What is the design pressure of Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0007,numeric,easy,text,vector,5,1,1,1,1.0,1.0,0.2,1.0,707.59,5,doc_002_safety_rules-chunk-001 | doc_004_pipeline_inspection-chunk-001 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-002 | doc_003_incident_report-chunk-002,text | table | text | image | text,E1,What is the design pressure of Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0007,numeric,easy,text,graph,5,1,1,1,1.0,1.0,0.2,1.0,860.58,5,doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-003 | doc_003_incident_report-chunk-001,text | text | text | text | text,E1,What is the design pressure of Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0007,numeric,easy,text,bm25_vector_rrf,5,1,1,1,1.0,1.0,0.2,1.0,708.43,5,doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-001 | doc_004_pipeline_inspection-chunk-002 | doc_001_equipment-chunk-000,text | text | table | image | text,E1,What is the design pressure of Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0007,numeric,easy,text,bm25_vector_graph_rrf,5,1,1,1,1.0,1.0,0.2,1.0,1569.0,5,doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-003,text | text | text | text | text,E1,What is the design pressure of Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0007,numeric,easy,text,bm25_vector_rrf_query_rerank,5,1,1,1,1.0,1.0,0.2,1.0,708.57,5,doc_002_safety_rules-chunk-001 | doc_004_pipeline_inspection-chunk-001 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-002 | doc_004_pipeline_inspection-chunk-002,text | table | text | text | image,E1,What is the design pressure of Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0007,numeric,easy,text,bm25_vector_rrf_q015_rerank,5,1,0,0,0.0,0.0,0.0,0.0,708.59,5,doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,,What is the design pressure of Pipeline-7A?,0,0,1,0
rerank_ablation_v0_001,EVAL-0007,numeric,easy,text,bm25_vector_graph_rrf_query_rerank,5,1,1,1,1.0,1.0,0.2,1.0,1569.1,5,doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-002 | doc_004_pipeline_inspection-chunk-001 | doc_003_incident_report-chunk-000,text | text | text | table | text,E1,What is the design pressure of Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0007,numeric,easy,text,bm25_vector_graph_rrf_q015_rerank,5,1,0,0,0.0,0.0,0.0,0.0,1569.15,5,doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,,What is the design pressure of Pipeline-7A?,0,0,1,0
rerank_ablation_v0_001,EVAL-0008,numeric,easy,text,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.72,5,doc_002_safety_rules-chunk-001 | doc_004_pipeline_inspection-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-000,text | table | text | text | text,E1,What is the alarm threshold for Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0008,numeric,easy,text,vector,5,1,1,1,1.0,1.0,0.2,1.0,658.02,5,doc_002_safety_rules-chunk-001 | doc_004_pipeline_inspection-chunk-001 | doc_003_incident_report-chunk-003 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002,text | table | text | text | text,E1,What is the alarm threshold for Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0008,numeric,easy,text,graph,5,1,1,1,1.0,1.0,0.2,1.0,694.29,5,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-003 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-001,text | text | text | text | text,E1,What is the alarm threshold for Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0008,numeric,easy,text,bm25_vector_rrf,5,1,1,1,1.0,1.0,0.2,1.0,658.8,5,doc_002_safety_rules-chunk-001 | doc_004_pipeline_inspection-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-001,text | table | text | text | text,E1,What is the alarm threshold for Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0008,numeric,easy,text,bm25_vector_graph_rrf,5,1,1,1,1.0,1.0,0.2,1.0,1353.08,5,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000,text | text | text | text | text,E1,What is the alarm threshold for Pipeline-7A?,0,0,0,0
rerank_ablation_v0_001,EVAL-0008,numeric,easy,text,bm25_vector_rrf_query_rerank,5,1,1,1,1.0,1.0,0.2,1.0,658.92,5,doc_002_safety_rules-chunk-001 | doc_004_pipeline_inspection-chunk-001 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-001,text | table | text | text | text,E1,What is the alarm threshold for Pipeline-7A?,0,0,0,0
