run_id,sample_id,question_type,difficulty,chunking_strategy,retrieval_strategy,k,expected_evidence_count,hit_evidence_count,hit_at_k,recall_at_k,mrr,context_precision,context_recall,latency_ms,returned_chunks,chunk_ids,question
chunking_ablation_v0_001,EVAL-0005,cross_paragraph,medium,fixed,bm25,3,3,3,1,1.0,1.0,0.6667,1.0,0.58,3,doc_001_equipment-chunk-001 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-000,Which sensors report to ControlSystem-CS1?
chunking_ablation_v0_001,EVAL-0005,cross_paragraph,medium,fixed,bm25,5,3,3,1,1.0,1.0,0.4,1.0,0.58,5,doc_001_equipment-chunk-001 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-002,Which sensors report to ControlSystem-CS1?
chunking_ablation_v0_001,EVAL-0005,cross_paragraph,medium,fixed,vector,1,3,2,1,0.6667,1.0,1.0,0.6667,357.96,1,doc_001_equipment-chunk-001,Which sensors report to ControlSystem-CS1?
chunking_ablation_v0_001,EVAL-0005,cross_paragraph,medium,fixed,vector,3,3,2,1,0.6667,1.0,0.3333,0.6667,357.96,3,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000,Which sensors report to ControlSystem-CS1?
chunking_ablation_v0_001,EVAL-0005,cross_paragraph,medium,fixed,vector,5,3,3,1,1.0,1.0,0.4,1.0,357.96,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-000,Which sensors report to ControlSystem-CS1?
chunking_ablation_v0_001,EVAL-0006,entity_relation,easy,fixed,bm25,1,1,1,1,1.0,1.0,1.0,1.0,0.56,1,doc_001_equipment-chunk-000,What does Sensor T-200 monitor?
chunking_ablation_v0_001,EVAL-0006,entity_relation,easy,fixed,bm25,3,1,1,1,1.0,1.0,0.3333,1.0,0.56,3,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-002,What does Sensor T-200 monitor?
chunking_ablation_v0_001,EVAL-0006,entity_relation,easy,fixed,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.56,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-002 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000,What does Sensor T-200 monitor?
chunking_ablation_v0_001,EVAL-0006,entity_relation,easy,fixed,vector,1,1,0,0,0.0,0.0,0.0,0.0,354.55,1,doc_003_incident_report-chunk-002,What does Sensor T-200 monitor?
chunking_ablation_v0_001,EVAL-0006,entity_relation,easy,fixed,vector,3,1,0,0,0.0,0.0,0.0,0.0,354.55,3,doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-001,What does Sensor T-200 monitor?
chunking_ablation_v0_001,EVAL-0006,entity_relation,easy,fixed,vector,5,1,0,0,0.0,0.0,0.0,0.0,354.55,5,doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-001,What does Sensor T-200 monitor?
chunking_ablation_v0_001,EVAL-0007,numeric,easy,fixed,bm25,1,1,1,1,1.0,1.0,1.0,1.0,0.54,1,doc_002_safety_rules-chunk-000,What is the design pressure of Pipeline-7A?
chunking_ablation_v0_001,EVAL-0007,numeric,easy,fixed,bm25,3,1,1,1,1.0,1.0,0.6667,1.0,0.54,3,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-000,What is the design pressure of Pipeline-7A?
chunking_ablation_v0_001,EVAL-0007,numeric,easy,fixed,bm25,5,1,1,1,1.0,1.0,0.4,1.0,0.54,5,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001,What is the design pressure of Pipeline-7A?
chunking_ablation_v0_001,EVAL-0007,numeric,easy,fixed,vector,1,1,1,1,1.0,1.0,1.0,1.0,341.18,1,doc_002_safety_rules-chunk-001,What is the design pressure of Pipeline-7A?
chunking_ablation_v0_001,EVAL-0007,numeric,easy,fixed,vector,3,1,1,1,1.0,1.0,0.6667,1.0,341.18,3,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001 | doc_002_safety_rules-chunk-000,What is the design pressure of Pipeline-7A?
chunking_ablation_v0_001,EVAL-0007,numeric,easy,fixed,vector,5,1,1,1,1.0,1.0,0.4,1.0,341.18,5,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001 | doc_002_safety_rules-chunk-000 | doc_001_equipment-chunk-001 | doc_001_equipment-chunk-000,What is the design pressure of Pipeline-7A?
chunking_ablation_v0_001,EVAL-0008,numeric,easy,fixed,bm25,1,1,1,1,1.0,1.0,1.0,1.0,0.54,1,doc_002_safety_rules-chunk-001,What is the alarm threshold for Pipeline-7A?
chunking_ablation_v0_001,EVAL-0008,numeric,easy,fixed,bm25,3,1,1,1,1.0,1.0,0.3333,1.0,0.54,3,doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000,What is the alarm threshold for Pipeline-7A?
chunking_ablation_v0_001,EVAL-0008,numeric,easy,fixed,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.54,5,doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-000,What is the alarm threshold for Pipeline-7A?
chunking_ablation_v0_001,EVAL-0008,numeric,easy,fixed,vector,1,1,1,1,1.0,1.0,1.0,1.0,339.98,1,doc_002_safety_rules-chunk-001,What is the alarm threshold for Pipeline-7A?
chunking_ablation_v0_001,EVAL-0008,numeric,easy,fixed,vector,3,1,1,1,1.0,1.0,0.3333,1.0,339.98,3,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001,What is the alarm threshold for Pipeline-7A?
chunking_ablation_v0_001,EVAL-0008,numeric,easy,fixed,vector,5,1,1,1,1.0,1.0,0.2,1.0,339.98,5,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000,What is the alarm threshold for Pipeline-7A?
chunking_ablation_v0_001,EVAL-0009,numeric,medium,fixed,bm25,1,1,1,1,1.0,1.0,1.0,1.0,0.55,1,doc_002_safety_rules-chunk-001,When must Sensor P-210 trigger a high-pressure alarm?
chunking_ablation_v0_001,EVAL-0009,numeric,medium,fixed,bm25,3,1,1,1,1.0,1.0,0.3333,1.0,0.55,3,doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-000,When must Sensor P-210 trigger a high-pressure alarm?
chunking_ablation_v0_001,EVAL-0009,numeric,medium,fixed,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.55,5,doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000,When must Sensor P-210 trigger a high-pressure alarm?
chunking_ablation_v0_001,EVAL-0009,numeric,medium,fixed,vector,1,1,1,1,1.0,1.0,1.0,1.0,341.56,1,doc_002_safety_rules-chunk-001,When must Sensor P-210 trigger a high-pressure alarm?
chunking_ablation_v0_001,EVAL-0009,numeric,medium,fixed,vector,3,1,1,1,1.0,1.0,0.3333,1.0,341.56,3,doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000,When must Sensor P-210 trigger a high-pressure alarm?
chunking_ablation_v0_001,EVAL-0009,numeric,medium,fixed,vector,5,1,1,1,1.0,1.0,0.2,1.0,341.56,5,doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-000,When must Sensor P-210 trigger a high-pressure alarm?
chunking_ablation_v0_001,EVAL-0010,causal_reasoning,medium,fixed,bm25,1,3,3,1,1.0,1.0,1.0,1.0,0.52,1,doc_003_incident_report-chunk-000,What happened in incident IR-2024-017?
chunking_ablation_v0_001,EVAL-0010,causal_reasoning,medium,fixed,bm25,3,3,3,1,1.0,1.0,0.3333,1.0,0.52,3,doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-000 | doc_001_equipment-chunk-001,What happened in incident IR-2024-017?
chunking_ablation_v0_001,EVAL-0010,causal_reasoning,medium,fixed,bm25,5,3,3,1,1.0,1.0,0.2,1.0,0.52,5,doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-000 | doc_001_equipment-chunk-001 | doc_001_equipment-chunk-002 | doc_002_safety_rules-chunk-000,What happened in incident IR-2024-017?
chunking_ablation_v0_001,EVAL-0010,causal_reasoning,medium,fixed,vector,1,3,3,1,1.0,1.0,1.0,1.0,350.47,1,doc_003_incident_report-chunk-000,What happened in incident IR-2024-017?
chunking_ablation_v0_001,EVAL-0010,causal_reasoning,medium,fixed,vector,3,3,3,1,1.0,1.0,0.3333,1.0,350.47,3,doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-001,What happened in incident IR-2024-017?
chunking_ablation_v0_001,EVAL-0010,causal_reasoning,medium,fixed,vector,5,3,3,1,1.0,1.0,0.2,1.0,350.47,5,doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001,What happened in incident IR-2024-017?
chunking_ablation_v0_001,EVAL-0011,cross_document,hard,fixed,bm25,1,2,1,1,0.5,1.0,1.0,0.5,0.56,1,doc_002_safety_rules-chunk-000,Which safety device required by Safety-Regulation-42 was verified after IR-2024-017?
chunking_ablation_v0_001,EVAL-0011,cross_document,hard,fixed,bm25,3,2,2,1,1.0,1.0,0.6667,1.0,0.56,3,doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-001,Which safety device required by Safety-Regulation-42 was verified after IR-2024-017?
chunking_ablation_v0_001,EVAL-0011,cross_document,hard,fixed,bm25,5,2,2,1,1.0,1.0,0.4,1.0,0.56,5,doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-000 | doc_001_equipment-chunk-001,Which safety device required by Safety-Regulation-42 was verified after IR-2024-017?
chunking_ablation_v0_001,EVAL-0011,cross_document,hard,fixed,vector,1,2,1,1,0.5,1.0,1.0,0.5,334.21,1,doc_002_safety_rules-chunk-000,Which safety device required by Safety-Regulation-42 was verified after IR-2024-017?
chunking_ablation_v0_001,EVAL-0011,cross_document,hard,fixed,vector,3,2,1,1,0.5,1.0,0.3333,0.5,334.21,3,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000,Which safety device required by Safety-Regulation-42 was verified after IR-2024-017?
chunking_ablation_v0_001,EVAL-0011,cross_document,hard,fixed,vector,5,2,2,1,1.0,1.0,0.4,1.0,334.21,5,doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001,Which safety device required by Safety-Regulation-42 was verified after IR-2024-017?
chunking_ablation_v0_001,EVAL-0012,cross_document,hard,fixed,bm25,1,2,0,0,0.0,0.0,0.0,0.0,0.63,1,doc_003_incident_report-chunk-000,Was Pipeline-7A pressure above the alarm threshold during IR-2024-017 inspection?
chunking_ablation_v0_001,EVAL-0012,cross_document,hard,fixed,bm25,3,2,2,1,1.0,0.5,0.6667,1.0,0.63,3,doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-001 | doc_002_safety_rules-chunk-001,Was Pipeline-7A pressure above the alarm threshold during IR-2024-017 inspection?
chunking_ablation_v0_001,EVAL-0012,cross_document,hard,fixed,bm25,5,2,2,1,1.0,0.5,0.4,1.0,0.63,5,doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-001 | doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_001_equipment-chunk-000,Was Pipeline-7A pressure above the alarm threshold during IR-2024-017 inspection?
chunking_ablation_v0_001,EVAL-0012,cross_document,hard,fixed,vector,1,2,1,1,0.5,1.0,1.0,0.5,353.94,1,doc_002_safety_rules-chunk-001,Was Pipeline-7A pressure above the alarm threshold during IR-2024-017 inspection?
chunking_ablation_v0_001,EVAL-0012,cross_document,hard,fixed,vector,3,2,2,1,1.0,1.0,0.6667,1.0,353.94,3,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-000,Was Pipeline-7A pressure above the alarm threshold during IR-2024-017 inspection?
chunking_ablation_v0_001,EVAL-0012,cross_document,hard,fixed,vector,5,2,2,1,1.0,1.0,0.4,1.0,353.94,5,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000,Was Pipeline-7A pressure above the alarm threshold during IR-2024-017 inspection?
chunking_ablation_v0_001,EVAL-0013,entity_relation,easy,fixed,bm25,1,1,1,1,1.0,1.0,1.0,1.0,0.59,1,doc_002_safety_rules-chunk-001,Which components must be inspected after an abnormal temperature report from Sensor T-200?
chunking_ablation_v0_001,EVAL-0013,entity_relation,easy,fixed,bm25,3,1,1,1,1.0,1.0,0.3333,1.0,0.59,3,doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000,Which components must be inspected after an abnormal temperature report from Sensor T-200?
chunking_ablation_v0_001,EVAL-0013,entity_relation,easy,fixed,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.59,5,doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-002,Which components must be inspected after an abnormal temperature report from Sensor T-200?
chunking_ablation_v0_001,EVAL-0013,entity_relation,easy,fixed,vector,1,1,1,1,1.0,1.0,1.0,1.0,337.75,1,doc_002_safety_rules-chunk-001,Which components must be inspected after an abnormal temperature report from Sensor T-200?
chunking_ablation_v0_001,EVAL-0013,entity_relation,easy,fixed,vector,3,1,1,1,1.0,1.0,0.3333,1.0,337.75,3,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002,Which components must be inspected after an abnormal temperature report from Sensor T-200?
chunking_ablation_v0_001,EVAL-0013,entity_relation,easy,fixed,vector,5,1,1,1,1.0,1.0,0.2,1.0,337.75,5,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-001,Which components must be inspected after an abnormal temperature report from Sensor T-200?
chunking_ablation_v0_001,EVAL-0014,causal_reasoning,medium,fixed,bm25,1,2,0,0,0.0,0.0,0.0,0.0,0.53,1,doc_003_incident_report-chunk-000,What maintenance action resolved the abnormal temperature in IR-2024-017?
chunking_ablation_v0_001,EVAL-0014,causal_reasoning,medium,fixed,bm25,3,2,2,1,1.0,0.3333,0.3333,1.0,0.53,3,doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001,What maintenance action resolved the abnormal temperature in IR-2024-017?
chunking_ablation_v0_001,EVAL-0014,causal_reasoning,medium,fixed,bm25,5,2,2,1,1.0,0.3333,0.2,1.0,0.53,5,doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-002,What maintenance action resolved the abnormal temperature in IR-2024-017?
chunking_ablation_v0_001,EVAL-0014,causal_reasoning,medium,fixed,vector,1,2,0,0,0.0,0.0,0.0,0.0,342.25,1,doc_003_incident_report-chunk-000,What maintenance action resolved the abnormal temperature in IR-2024-017?
chunking_ablation_v0_001,EVAL-0014,causal_reasoning,medium,fixed,vector,3,2,0,0,0.0,0.0,0.0,0.0,342.25,3,doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_002_safety_rules-chunk-001,What maintenance action resolved the abnormal temperature in IR-2024-017?
chunking_ablation_v0_001,EVAL-0014,causal_reasoning,medium,fixed,vector,5,2,2,1,1.0,0.25,0.2,1.0,342.25,5,doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001,What maintenance action resolved the abnormal temperature in IR-2024-017?
chunking_ablation_v0_001,EVAL-0015,global_summary,hard,fixed,bm25,1,4,1,1,0.25,1.0,1.0,0.25,0.56,1,doc_002_safety_rules-chunk-000,Summarize the safety chain involving BluePump-X100 across the manuals and incident report.
chunking_ablation_v0_001,EVAL-0015,global_summary,hard,fixed,bm25,3,4,3,1,0.75,1.0,1.0,0.75,0.56,3,doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-000,Summarize the safety chain involving BluePump-X100 across the manuals and incident report.
chunking_ablation_v0_001,EVAL-0015,global_summary,hard,fixed,bm25,5,4,4,1,1.0,1.0,0.8,1.0,0.56,5,doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001,Summarize the safety chain involving BluePump-X100 across the manuals and incident report.
chunking_ablation_v0_001,EVAL-0015,global_summary,hard,fixed,vector,1,4,1,1,0.25,1.0,1.0,0.25,324.69,1,doc_002_safety_rules-chunk-000,Summarize the safety chain involving BluePump-X100 across the manuals and incident report.
chunking_ablation_v0_001,EVAL-0015,global_summary,hard,fixed,vector,3,4,3,1,0.75,1.0,1.0,0.75,324.69,3,doc_002_safety_rules-chunk-000 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-000,Summarize the safety chain involving BluePump-X100 across the manuals and incident report.
chunking_ablation_v0_001,EVAL-0015,global_summary,hard,fixed,vector,5,4,3,1,0.75,1.0,0.6,0.75,324.69,5,doc_002_safety_rules-chunk-000 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-001,Summarize the safety chain involving BluePump-X100 across the manuals and incident report.
chunking_ablation_v0_001,EVAL-0001,fact,easy,structure_aware,bm25,1,2,2,1,1.0,1.0,1.0,1.0,0.57,1,doc_001_equipment-chunk-000,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0001,fact,easy,structure_aware,bm25,3,2,2,1,1.0,1.0,0.3333,1.0,0.57,3,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-000,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0001,fact,easy,structure_aware,bm25,5,2,2,1,1.0,1.0,0.2,1.0,0.57,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-002,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0001,fact,easy,structure_aware,vector,1,2,2,1,1.0,1.0,1.0,1.0,338.22,1,doc_001_equipment-chunk-000,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0001,fact,easy,structure_aware,vector,3,2,2,1,1.0,1.0,0.3333,1.0,338.22,3,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0001,fact,easy,structure_aware,vector,5,2,2,1,1.0,1.0,0.2,1.0,338.22,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-002,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0002,fact,easy,structure_aware,bm25,1,1,1,1,1.0,1.0,1.0,1.0,0.6,1,doc_001_equipment-chunk-000,Which pipeline does BluePump-X100 move cooling water through?
chunking_ablation_v0_001,EVAL-0002,fact,easy,structure_aware,bm25,3,1,1,1,1.0,1.0,0.3333,1.0,0.6,3,doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-003,Which pipeline does BluePump-X100 move cooling water through?
chunking_ablation_v0_001,EVAL-0002,fact,easy,structure_aware,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.6,5,doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-000 | doc_001_equipment-chunk-001,Which pipeline does BluePump-X100 move cooling water through?
